F,428,473,507,330,359,8,8,12
F,427,471,506,330,359,2,2,2
F,426,470,505,332,357,0,0,0
F,427,469,505,332,359,12,14,19
F,426,469,503,332,359,6,6,8
F,425,467,503,333,358,2,1,0
F,423,464,501,332,355,0,0,0
F,423,465,504,331,356,11,13,19
F,423,465,504,332,356,4,4,6
F,424,464,501,331,356,0,0,0
F,424,463,500,331,355,0,0,0
F,423,464,501,331,356,11,13,18
F,423,463,499,331,355,5,5,7
F,422,464,499,331,356,2,2,2
F,420,462,499,331,356,0,0,0
F,422,461,500,331,357,12,14,19
F,422,461,503,330,356,7,8,11
F,421,461,503,330,356,2,3,3
F,419,459,495,313,337,0,0,0
F,419,460,490,314,336,1,2,3
F,418,460,490,315,338,10,11,16
F,411,459,490,319,338,3,3,4
F,412,459,490,323,341,1,0,0
F,414,459,490,322,343,0,0,0
F,415,458,491,323,344,10,13,16
F,415,458,490,323,346,10,11,16
F,417,457,489,324,345,3,3,4
F,417,457,489,324,345,2,2,3
F,416,457,488,323,345,0,0,0
F,417,457,489,324,343,0,0,1
F,417,457,489,325,346,11,13,18
F,416,456,487,325,346,7,8,11
F,416,456,488,324,346,3,3,4
F,416,455,488,325,347,0,0,0
F,416,456,488,325,348,0,0,0
F,416,455,487,325,346,0,0,0
F,416,455,488,326,348,11,14,19
F,416,454,488,325,347,9,10,15
F,416,454,488,325,346,3,3,5
F,416,454,488,323,346,3,3,3
F,416,454,487,324,346,0,0,0
F,416,454,487,326,347,0,0,0
F,416,453,486,325,347,0,0,0
F,416,454,487,327,348,8,11,15
F,416,454,488,326,348,12,14,19
F,416,454,488,326,349,9,10,14
F,415,454,487,328,348,4,4,7
F,415,454,488,327,349,3,3,4
F,415,452,489,327,348,2,2,3
F,415,452,488,327,349,0,0,0
