N,279,306,335,304,365,0,0,0
N,280,308,337,306,366,11,13,17
N,280,308,337,307,366,6,6,9
N,281,307,337,306,367,2,2,2
N,280,307,337,305,365,0,0,0
N,278,305,336,307,366,0,0,0
N,278,305,337,308,366,0,0,0
N,278,303,339,308,368,11,13,18
N,278,306,340,308,367,7,8,11
N,279,306,339,307,368,3,3,3
N,284,307,338,308,368,2,1,1
N,288,304,338,307,365,0,0,0
N,283,307,338,308,364,0,0,0
N,284,308,338,309,363,10,12,15
N,282,308,340,309,366,9,9,13
N,282,307,340,308,367,3,3,4
N,285,307,339,308,366,2,2,2
N,284,308,340,307,367,0,0,0
N,285,306,338,308,366,0,0,0
N,285,307,340,308,366,1,1,1
N,287,308,339,308,367,11,14,18
N,286,307,341,307,366,6,6,8
N,286,307,341,309,367,2,2,2
N,285,307,341,309,368,1,1,0
N,285,307,340,308,367,0,0,0
N,284,307,338,308,367,0,0,0
N,286,308,340,311,367,12,14,18
N,286,307,341,309,368,9,9,13
N,286,307,341,309,367,3,2,3
N,285,308,341,309,366,2,2,2
N,286,307,340,309,367,0,0,0
N,285,307,339,308,365,0,0,0
N,286,307,340,309,365,1,2,3
N,286,309,341,310,368,11,13,18
N,286,307,342,310,367,7,7,10
N,286,308,340,309,367,2,2,3
N,285,307,340,310,367,2,1,1
N,284,307,340,309,366,0,0,0
N,286,306,339,310,365,0,0,0
N,286,307,339,311,366,2,4,5
N,286,308,340,310,367,12,13,18
N,286,308,341,311,367,8,9,13
N,286,307,340,309,367,3,3,3
N,285,308,340,310,367,2,2,2
N,285,307,341,310,366,0,0,0
N,286,307,340,310,367,0,0,0
N,286,308,339,310,366,0,0,0
N,287,307,342,310,367,11,14,16
N,286,308,341,310,367,10,11,15
N,287,308,340,309,367,6,6,8
