L,262,253,247,466,356,2,2,2
L,262,252,249,465,356,0,0,0
L,262,253,250,466,357,0,0,0
L,263,254,253,466,358,13,15,20
L,263,255,256,469,358,5,5,6
L,265,255,255,470,358,2,2,2
L,265,256,255,469,357,0,0,0
L,266,255,255,470,358,0,0,0
L,267,257,257,471,361,12,14,20
L,266,257,260,469,359,7,8,10
L,267,256,258,469,359,3,2,3
L,266,256,260,467,358,0,0,0
L,268,256,259,467,357,0,0,0
L,268,258,262,466,359,13,15,19
L,268,257,264,467,359,9,10,13
L,268,258,263,467,359,3,3,3
L,269,257,262,467,360,0,0,0
L,268,257,262,467,358,0,0,0
L,270,259,263,467,359,7,9,12
L,270,258,265,469,360,11,12,17
L,269,258,266,468,360,4,3,5
L,269,258,266,465,360,2,2,2
L,270,258,262,461,364,0,0,0
L,270,258,263,461,365,0,0,0
L,272,258,267,463,366,13,14,19
L,271,259,268,463,366,7,8,11
L,271,258,267,463,366,2,2,2
L,271,258,269,462,365,0,0,0
L,271,259,265,461,365,0,0,0
L,272,259,266,462,366,12,15,18
L,272,260,269,460,367,10,11,14
L,270,259,269,460,368,3,3,3
L,271,259,269,461,367,0,0,0
L,271,259,268,463,368,0,0,0
L,271,259,269,464,367,7,9,12
L,272,261,271,464,369,11,12,16
L,272,259,269,463,368,4,3,5
L,273,261,270,463,368,2,2,2
L,272,260,269,463,368,0,0,0
L,272,259,268,463,368,0,0,0
L,273,260,270,463,368,13,14,19
L,273,260,271,462,369,7,7,9
L,272,260,272,461,367,2,2,3
L,272,259,270,462,368,0,0,0
L,272,259,269,462,367,0,0,0
L,272,261,271,462,368,13,15,19
L,272,261,271,460,369,9,10,13
L,272,261,272,460,368,2,2,3
L,272,260,271,460,368,0,0,0
L,273,260,269,461,367,0,0,0
